COM_LOCALIZACAO,COM_NOME,BLOB_PRESENTE,BLOB_ABRE,BLOB_WxH,FILE_ESPERADO,FILE_ENCONTRADO,FILE_ABRE,FILE_WxH,AHASH_DIST_0..64,STATUS,COM_ULTIMA_ALTERACAO,URL_ESPERADA
EXCLUSIVA I VITROLAB.mp4,EXCLUSIVA - VITROLAB,1,1,160x90,C:\EPG\thumbs\EXCLUSIVA I VITROLAB.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-28 12:51:39.858000,https://app.tvufop.com.br/epg/EXCLUSIVA%20I%20VITROLAB.jpg
DIA D I ORGANIZAÇÃO MUNDIAL DA SAÚDE.mp4,DIA D (2023) - EP2 - ORGANIZAÇÃO MUNDIAL DA SAÚDE,1,1,160x90,C:\EPG\thumbs\DIA D I ORGANIZAÇÃO MUNDIAL DA SAÚDE.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-27 12:31:08.447000,https://app.tvufop.com.br/epg/DIA%20D%20I%20ORGANIZA%C3%87%C3%83O%20MUNDIAL%20DA%20SA%C3%9ADE.jpg
PÉ DA LETRA I PICAR A MULA.mp4,PÉ DA LETRA (2014) - PICAR A MULA,1,0,,C:\EPG\thumbs\PÉ DA LETRA I PICAR A MULA.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-18 10:28:09.260000,https://app.tvufop.com.br/epg/P%C3%89%20DA%20LETRA%20I%20PICAR%20A%20MULA.jpg
DIA D I PREVENÇÃO E SAÚDE.mp4,DIA D (2023) - EP1 - PREVENÇÃO E SAÚDE,1,1,160x90,C:\EPG\thumbs\DIA D I PREVENÇÃO E SAÚDE.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-27 12:30:48.398000,https://app.tvufop.com.br/epg/DIA%20D%20I%20PREVEN%C3%87%C3%83O%20E%20SA%C3%9ADE.jpg
DIA D I IST.mp4,DIA D (2024) - EP1 - IST,1,1,160x90,C:\EPG\thumbs\DIA D I IST.jpg,C:\EPG\thumbs\DIA D I IST.jpg,1,160x90,1,OK,2025-09-18 12:08:41.270000,https://app.tvufop.com.br/epg/DIA%20D%20I%20IST.jpg
DIA D I SISTEMA ÚNICO DE SAÚDE.mp4,DIA D (2023) - EP4 - SISTEMA ÚNICO DE SAÚDE,1,1,160x90,C:\EPG\thumbs\DIA D I SISTEMA ÚNICO DE SAÚDE.jpg,C:\EPG\thumbs\DIA D I SISTEMA ÚNICO DE SAÚDE.jpg,1,160x90,3,OK,2025-08-27 12:32:06.748000,https://app.tvufop.com.br/epg/DIA%20D%20I%20SISTEMA%20%C3%9ANICO%20DE%20SA%C3%9ADE.jpg
DIA D I MINISTÉRIO DA SAÚDE.mp4,DIA D (2023) - EP3 - MINISTÉRIO DA SAÚDE,1,1,160x90,C:\EPG\thumbs\DIA D I MINISTÉRIO DA SAÚDE.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-27 12:31:30.346000,https://app.tvufop.com.br/epg/DIA%20D%20I%20MINIST%C3%89RIO%20DA%20SA%C3%9ADE.jpg
EXCLUSIVA I AFRORAGGA FLOWMAN.mp4,EXCLUSIVA - AFRORAGGA FLOWMAN,1,1,160x90,C:\EPG\thumbs\EXCLUSIVA I AFRORAGGA FLOWMAN.jpg,C:\EPG\thumbs\EXCLUSIVA I AFRORAGGA FLOWMAN.jpg,1,160x90,0,OK,2025-08-28 12:49:24.780000,https://app.tvufop.com.br/epg/EXCLUSIVA%20I%20AFRORAGGA%20FLOWMAN.jpg
(IN)CONFIDÊNCIAS I JOEL ZITO EP4.mp4,(IN)CONFIDÊNCIAS (2025) - EP4 - JOEL ZITO,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I JOEL ZITO EP4.jpg,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I JOEL ZITO EP4.jpg,1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-16 14:55:23.236000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20I%20JOEL%20ZITO%20EP4.jpg
DIA D I DIU.mp4,DIA D (2024) - EP3 - DIU,1,1,160x90,C:\EPG\thumbs\DIA D I DIU.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-09-18 12:08:41.306000,https://app.tvufop.com.br/epg/DIA%20D%20I%20DIU.jpg
