COM_LOCALIZACAO,COM_NOME,BLOB_PRESENTE,BLOB_FORMAT_DETECTADO,BLOB_WxH,FILE_SALVO,STATUS,COM_ULTIMA_ALTERACAO
EXCLUSIVA I VITROLAB.mp4,EXCLUSIVA - VITROLAB,1,BMP,160x90,C:\EPG\thumbs\EXCLUSIVA I VITROLAB.jpg,OK,2025-08-28 12:51:39.858000
DIA D I ORGANIZAÇÃO MUNDIAL DA SAÚDE.mp4,DIA D (2023) - EP2 - ORGANIZAÇÃO MUNDIAL DA SAÚDE,1,BMP,160x90,C:\EPG\thumbs\DIA D I ORGANIZAÇÃO MUNDIAL DA SAÚDE.jpg,OK,2025-08-27 12:31:08.447000
PÉ DA LETRA I PICAR A MULA.mp4,PÉ DA LETRA (2014) - PICAR A MULA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:28:09.260000
DIA D I PREVENÇÃO E SAÚDE.mp4,DIA D (2023) - EP1 - PREVENÇÃO E SAÚDE,1,BMP,160x90,C:\EPG\thumbs\DIA D I PREVENÇÃO E SAÚDE.jpg,OK,2025-08-27 12:30:48.398000
DIA D I IST.mp4,DIA D (2024) - EP1 - IST,1,BMP,160x90,C:\EPG\thumbs\DIA D I IST.jpg,OK,2025-09-18 12:08:41.270000
DIA D I SISTEMA ÚNICO DE SAÚDE.mp4,DIA D (2023) - EP4 - SISTEMA ÚNICO DE SAÚDE,1,BMP,160x90,C:\EPG\thumbs\DIA D I SISTEMA ÚNICO DE SAÚDE.jpg,OK,2025-08-27 12:32:06.748000
DIA D I MINISTÉRIO DA SAÚDE.mp4,DIA D (2023) - EP3 - MINISTÉRIO DA SAÚDE,1,BMP,160x90,C:\EPG\thumbs\DIA D I MINISTÉRIO DA SAÚDE.jpg,OK,2025-08-27 12:31:30.346000
EXCLUSIVA I AFRORAGGA FLOWMAN.mp4,EXCLUSIVA - AFRORAGGA FLOWMAN,1,BMP,160x90,C:\EPG\thumbs\EXCLUSIVA I AFRORAGGA FLOWMAN.jpg,OK,2025-08-28 12:49:24.780000
(IN)CONFIDÊNCIAS I JOEL ZITO EP4.mp4,(IN)CONFIDÊNCIAS (2025) - EP4 - JOEL ZITO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:55:23.236000
DIA D I DIU.mp4,DIA D (2024) - EP3 - DIU,1,BMP,160x90,C:\EPG\thumbs\DIA D I DIU.jpg,OK,2025-09-18 12:08:41.306000
EXCLUSIVA I AS FULÔ DO CERRADO.mp4,EXCLUSIVA - AS FULÔ DO CERRADO,1,BMP,160x90,C:\EPG\thumbs\EXCLUSIVA I AS FULÔ DO CERRADO.jpg,OK,2025-08-28 12:49:31.960000
DIA D I EXAME PREVENTIVO.mp4,DIA D (2024) - EP4 - EXAME PREVENTIVO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 12:08:41.360000
DIA D I HPV.mp4,DIA D (2024) - EP2 - HPV,1,BMP,160x90,C:\EPG\thumbs\DIA D I HPV.jpg,OK,2025-09-18 12:08:41.272000
(IN)CONFIDÊNCIAS I MIA COUTO EP9.mp4,(IN)CONFIDÊNCIAS (2025) - EP9 - MIA COUTO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:55:44.464000
(IN)CONFIDÊNCIAS I MIA COUTO EP10.mp4,(IN)CONFIDÊNCIAS (2025) - EP10 - MIA COUTO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:56:26.890000
(IN)CONFIDÊNCIAS I ROBERT DARNTON EP11.mp4,(IN)CONFIDÊNCIAS (2025) - EP11 - ROBERT DARNTON,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:54:38.497000
